Name,Notes,Sources
70 News,"a WordPress-hosted site that published a false news story, stating that Donald Trump had won the popular vote in the 2016 United States presidential election; the fake story rose to the top in searches for ""final election results"" on Google News",[9][10]
ABCnews.com.co,"Owned by Paul Horner. Mimics the URL, design and logo of ABC News (owned by Disney–ABC Television Group).",[11][12]
American News,"Published a false story claiming actor Denzel Washington endorsed Donald Trump for president. The fictional headline led to thousands of people sharing it on Facebook, a prominent example of fake news spreading on the social network prior to the 2016 presidential election.",[13][14][15]
Before It's News,"Cited by US President Donald Trump at his 2016 campaign rallies. Before It's News and Infowars were described as ""unabashedly unhinged 'news' sites"" in 2014 by the Washington Post following its promotion of conspiracy theories relation to Malaysia Airlines Flight 17.[16]",[17][16]
bizstandardnews.com,"Its stories have been mistaken as real-news then shared and cited as real-news.[18] Its disclaimer says the stories ""could be true"" because ""reality is so strange nowadays"". But the disclaimer also says it is ""a satirical site designed to parody the 24-hour news cycle.""[19] Its name is similar to the unrelated Indian English-language daily newspaper called Business Standard.",[18][20][21][22][23][24]
Bloomberg.ma,"Designed to imitate Bloomberg.com. Was used to issue a false report announcing that Twitter had received a USD $31 billion takeover offer, the false report resulted in a brief 8% stock price spike of Twitter. Site now defunct.",[25][26]
The Boston Tribune,"Starting in February 2016, this website's outright hoaxes quickly became popular with its readers.",[27]
Celebtricity,Has claimed: *That President Obama declared a state of emergency in Chicago after more than 300 people were shot in one night. *That an employee at a Wendy's put vaginal discharge on a burger as revenge against a partner. *Bryshere Y. Gray is Jay-Z's son.,[28][29][30]
cnn-trending.com,"Imitated the CNN.com, complete with the CNN logo. Pushed the Hawking Code scam",[31][32]
Conservative 101,Falsely claimed that the White House fired Kellyanne Conway.,[13][14]
Conservative Frontline,Owned by Jestin Coler.,[33]
CountyNewsroom.info,"The fake news website, registered to Tbilisi, Georgia, makes ""a minimal attempt to look official"" and is used to spread malware on readers' computers.[34]",[34]
Daily Buzz Live,,[17]
DC Gazette,,[17]
Denver Guardian,Owned by Jestin Coler.,[33]
Disclose TV,,[17]
DrudgeReport.com.co,Owned by Jestin Coler (mimics the name of the Drudge Report).,[33]
Empire Herald,"Starting in January 2016, this fake news site had spread many of its hoaxes online in just a few weeks.",[27]
Empire News,"Many of this website's fake news hoaxes were widely shared on social media, with stories based off social or political controversies, or were simply appalling to readers.",[11][27]
Empire Sports,Not to be confused with the legitimate (but long-defunct) Empire Sports Network.,[35]
Firebrand Left,Owned by Jestin Coler.,[33]
Global Associated News,,[35]
Gossip Mill Mzansi,"A fake news website using Wordpress, targeting South African affairs. Its misinformation is spread on social media including Facebook and Twitter.",[36][37]
Gummy Post,"Fake news website that has published claims about President Obama issuing a full pardon for convicted rapper C-Murder, musician Kodak Black getting shot outside a nightclub in Florida, and a Hulk Hogan death hoax.",[38][39][40]
Huzlers,"Fake news from this website often involve popular restaurants and brands to disgust readers with its gross-out stories. One story by the site falsely reported that Dong Nguyen, the creator of Flappy Bird, killed himself. Another story made up an incident where a person working at a McDonald's restaurant put his mixtapes in Happy Meals.",[27][35][41][42]
InfoWars,"Managed by Alex Jones. Has previously claimed that millions of people have voted illegally in the 2016 presidential election, that the Sandy Hook Elementary School shooting was a hoax, that the Boston Marathon bombing was a hoax, and that the Democratic Party was hosting a child sex slave ring out of a pizza restaurant.",[17][43][44][45] [46][47][48][49][50][51]
KMT 11 News,Falsely reports celebrity appearances and filming locations in random local towns.,[52][53][54][55]
The Last Line of Defense,"This website has a history of publishing fake news articles, especially of the political genre. Notable hoaxes include Donald Trump revoking the press credentials of six major news outlets, Michelle Obama getting ditched by the Secret Service, and Hillary Clinton describing Beyonce's music using racial slurs.",[56][57][58]
Liberal Society,"Published a fake direct quote attributed to Obama, Falsely claimed that the White House fired Kellyanne Conway.",[13][14]
Liberty Writers News,"Established in 2015 by Paris Wade and Ben Goldman, who told the Washington Post their stories focus on ""violence and chaos and aggressive wording"" to attract readers. The stories reflect the positions of supporters of Donald Trump.[59]",[60][59]
LinkBeef,"Fake news website that has published claims about the pilot of Malaysia Airlines Flight 370 reappearing, a billionaire wanting to recruit 1,000 women to bear his children, and an Adam Sandler death hoax.",[61][62][63]
Media Mass,,[35]
Naha Daily,"This fake news website is now defunct, and was active in a span of five months with popular fake news articles, including a fake quote by Michael Kors.",[27]
NationalReport.net,"Founder Jestin Coler told Columbia Journalism Review: ""When it comes to the fake stuff, you really want it to be red meat. [...] It doesn’t have to be offensive. It doesn’t have to be outrageous. It doesn’t have to be anything other than just giving them what they already wanted to hear.""[11]",[11][33][27]
Natural News,"Formerly NewsTarget, a website for the sale of various dietary supplements, promotion of alternative medicine, controversial nutrition and health claims, and various conspiracy theories, such as ""chemtrails"", chemophobic claims (including the purported dangers of fluoride in drinking water, anti-perspirants, laundry detergent, monosodium glutamate, aspartame), and purported health problems caused by allegedly ""toxic"" ingredients in vaccines, including the now-discredited link to autism.",[17][64][64][65][66][67]
NBCNews.com.co,"Owned by Paul Horner. Mimics the URL, design and logo of NBC News.",[68]
Neonnettle.com,"This fake news website ""tried to connect the random deaths of doctors with conspiracy theories around vaccination"" in a phony story from 2017.[69]",[69]
News Breaks Here,,[70]
The News Buzz Daily,"This fake news website mostly consists of celebrity gossip and death hoaxes, but a few of its other stories became popular on social media.",[27]
News Examiner,"Started in 2015 by Paul Horner, the lead writer of the National Report. This website has been known to mix real news along with its fake news.",[27]
News Hound,,[35]
The News Nerd,,[35]
NewsWatch33,"Began in April 2015 under the name NewsWatch28, later becoming NewsWatch33. The website disguises itself as a local television outlet. It has also been known to mix real news along with its fake news in an attempt to circumvent Facebook’s crackdown on them.",[27]
The New York Evening (TheNewYorkEvening.com),"This fake news website has spread numerous false claims, including a fake story claiming that Malia Obama had been expelled from Harvard.",[71]
